Date,Open,High,Low,Close,Volume
2015/12/22,437.6,443.2,433.3,437,65.79K
2015/12/23,437,444.8,434.3,442.4,63.25K
2015/12/24,442.4,460.6,441.8,453,79.60K
2015/12/25,453,457.4,449.5,454,42.39K
2015/12/26,454,456.5,400.5,415.4,208.58K
2015/12/27,415.4,425.5,406.1,422.4,67.58K
2015/12/28,422.4,429.9,417.1,421.8,68.35K
2015/12/29,421.8,433.6,419.3,431.9,70.65K
2015/12/30,431.9,435,420.8,427.1,68.27K
2015/12/31,427.1,433.1,417.1,430,65.21K
2016/1/1,430,438,425.9,434,46.97K
2016/1/2,434,437.4,430.7,433.7,33.57K
2016/1/3,433.7,434.1,423.1,430.7,54.83K
2016/1/4,430.7,435.3,428.6,433.3,53.01K
2016/1/5,433.3,435.3,428.9,431.2,45.03K
2016/1/6,431.2,432.1,425,430.8,43.43K
2016/1/7,430.8,457.5,428.5,457,130.20K
2016/1/8,457,462.9,446.5,452.9,91.31K
2016/1/9,452.9,454.5,444.9,448.3,39.81K
2016/1/10,448.3,448.9,438.6,446.2,44.46K
2016/1/11,446.2,451.1,441.8,447.7,56.59K
2016/1/12,447.7,448.4,443.1,445,44.59K
2016/1/13,445,443.7,420.4,432.2,92.04K
2016/1/14,432.2,433.7,427,429.1,46.17K
2016/1/15,429.1,430.1,364.7,372.3,268.14K
2016/1/16,372.3,386.7,350.4,385,183.96K
2016/1/17,385,390.7,377.7,382.5,66.09K
2016/1/18,382.5,387.3,373.2,384.4,69.30K
2016/1/19,384.4,386.7,375.9,379.5,66.35K
2016/1/20,379.5,425.7,374,414.6,190.32K
2016/1/21,414.6,423.4,403.9,410.2,89.94K
2016/1/22,410.2,411.5,374.9,382.6,144.86K
2016/1/23,382.6,395.4,380.3,388.6,61.38K
2016/1/24,388.6,405.4,385.5,402.1,64.54K
2016/1/25,402.1,403.8,386.9,392.8,67.66K
2016/1/26,392.8,397.7,387.9,389.8,56.81K
2016/1/27,389.8,397.4,389.4,395,43.68K
2016/1/28,395,395.4,376.7,379.7,77.32K
2016/1/29,379.7,385.8,363.5,380.3,138.46K
2016/1/30,380.3,381.8,375,377.8,36.18K
2016/1/31,377.8,380.5,366.9,369.8,39.02K
2016/2/1,369.8,379.8,365.3,372.2,74.35K
2016/2/2,372.2,376.6,371.4,373.9,50.98K
2016/2/3,373.9,375.9,366.2,368,59.81K
2016/2/4,368,391.8,368,390.6,101.87K
2016/2/5,390.6,391.1,384.5,386.5,60.92K
2016/2/6,386.5,386.4,372.9,376.7,78.85K
2016/2/7,376.7,382.6,375.3,377.9,40.74K
2016/2/8,377.9,380.9,372.1,372.6,62.24K
2016/2/9,372.6,377.6,371.4,375.3,55.36K
2016/2/10,375.3,385.4,374.1,381.9,97.49K
2016/2/11,381.9,383.2,372.8,379.5,62.65K
2016/2/12,379.5,386.4,379.3,384,53.76K
2016/2/13,384,392.6,383.3,390.1,48.16K
2016/2/14,390.1,405.9,390.1,405.5,73.59K
2016/2/15,405.5,410.9,396.6,401.1,86.13K
2016/2/16,401.1,409.8,398,406.4,68.33K
2016/2/17,406.4,421.5,405,417.1,90.32K
2016/2/18,417.1,425.5,414.8,421.4,77.35K
2016/2/19,421.4,424.3,416.4,420,52.24K
2016/2/20,420,442.7,419.5,440.1,111.63K
2016/2/21,440.1,447.6,425.5,437.9,100.50K
2016/2/22,437.9,440.2,431.3,437.8,56.01K
2016/2/23,437.8,440.8,414.4,419.9,93.72K
2016/2/24,419.9,425.2,410.4,422.7,66.51K
2016/2/25,422.7,427.2,417.5,423.5,53.54K
2016/2/26,423.5,427.6,419.1,427.3,53.21K
2016/2/27,427.3,434.1,427.3,431.3,42.79K
2016/2/28,431.3,435.6,421.2,432.5,50.85K
2016/2/29,432.5,441.3,429.8,436.2,68.77K
2016/3/1,436.2,439,428.5,434,67.46K
2016/3/2,434,435.9,423.9,425.4,57.75K
2016/3/3,425.4,425.8,414.9,419.6,78.90K
2016/3/4,419.6,423.4,407.2,409.5,75.27K
2016/3/5,409.5,410.1,386.9,399,129.15K
2016/3/6,399,412,393.1,406,62.59K
2016/3/7,406,416.6,402,414.9,61.77K
2016/3/8,414.9,416.7,408.4,411.9,53.77K
2016/3/9,411.9,414.9,408.9,412.8,50.92K
2016/3/10,412.8,417.5,410.3,415.8,55.74K
2016/3/11,415.8,422.4,415.1,419.1,60.63K
2016/3/12,419.1,420.7,407,410.4,59.64K
2016/3/13,410.4,415.9,409.6,412.4,34.98K
2016/3/14,412.4,416.1,411.2,414.3,49.33K
2016/3/15,414.3,417.4,412.3,415.1,48.60K
2016/3/16,415.1,417,413.3,415.9,44.54K
2016/3/17,415.9,419.6,415.3,418.2,43.82K
2016/3/18,418.2,418.6,402.5,408.2,66.07K
2016/3/19,408.2,410.5,402.1,408.7,37.00K
2016/3/20,408.7,413.5,407.2,411.5,30.54K
2016/3/21,411.5,413.1,407.3,411.1,43.16K
2016/3/22,411.1,417.9,410.8,416.2,49.08K
2016/3/23,416.2,419.6,414.2,417,40.61K
2016/3/24,417,417.7,412.9,414.7,38.83K
2016/3/25,414.7,417.3,412.4,415.7,34.59K
2016/3/26,415.7,417.7,413.9,416.5,28.06K
2016/3/27,416.5,427.4,415.5,424.6,61.72K
2016/3/28,424.6,425.4,419.7,422.2,43.45K
2016/3/29,422.2,424.5,406.4,415,69.11K
2016/3/30,415,416.2,408.4,412.4,43.28K
2016/3/31,412.4,417.2,411.5,415.7,41.84K
2016/4/1,415.7,416.9,412.8,415.6,38.22K
2016/4/2,415.6,420.1,415.1,418.5,31.31K
2016/4/3,418.5,420.2,417,419.1,22.80K
2016/4/4,419.1,420.4,416.2,419.3,33.44K
2016/4/5,419.3,423.7,418,422.1,40.89K
2016/4/6,422.1,422.8,419.5,421.3,32.67K
2016/4/7,421.3,422,417.9,420.1,36.06K
2016/4/8,420.1,423.5,415.5,417.7,46.95K
2016/4/9,417.7,418.9,412.4,418,29.43K
2016/4/10,418,421.6,416.7,420.3,23.30K
2016/4/11,420.3,422.4,418.1,421.4,36.39K
2016/4/12,421.4,426.7,420.7,424.7,57.71K
