Date,Close,Open,High,Low,Volume
2019/8/11,106.97,99.17,108.44,99.04,343.36K
2019/8/12,104.41,106.95,107.19,102.64,242.38K
2019/8/13,101.6,104.41,106.49,100.85,315.80K
2019/8/14,95.55,101.58,102.51,95.18,380.04K
2019/8/15,94.58,95.92,96.84,93.11,358.24K
2019/8/16,93.35,94.59,94.86,91.55,231.56K
2019/8/17,91.77,93.33,93.54,90.78,141.51K
2019/8/18,94.78,91.77,96.52,91.21,138.94K
2019/8/19,97.18,94.78,97.4,93.97,124.90K
2019/8/20,93.61,97.2,97.33,93.32,235.75K
2019/8/21,90.11,93.61,93.76,87.28,319.96K
2019/8/22,90.85,90.09,92.14,88.16,635.24K
2019/8/23,93.37,90.85,96.19,90.13,369.02K
2019/8/24,92.19,93.38,93.39,90.14,201.64K
2019/8/25,91.27,92.19,93.12,90.78,233.51K
2019/8/26,92.27,91.27,93.37,91.09,212.50K
2019/8/27,90.61,92.26,92.29,90,137.13K
2019/8/28,85,90.61,91.05,84.72,244.16K
2019/8/29,79.96,85,85.01,78.35,224.65K
2019/8/30,80.19,80,81.85,79.06,193.50K
2019/8/31,79.83,80.19,82.02,78.43,197.42K
2019/9/1,79.56,79.83,80.39,78.26,105.65K
2019/9/2,81.33,79.56,83.03,79.43,244.34K
2019/9/3,82.76,81.33,83.51,80.02,212.79K
2019/9/4,80.85,82.77,82.77,80.2,163.51K
2019/9/5,80.45,80.85,81.81,80.06,174.36K
2019/9/6,80.03,80.45,83.07,78.05,247.45K
2019/9/7,84.1,80.03,84.38,79.95,212.86K
2019/9/8,87.84,84.1,87.99,83.65,161.41K
2019/9/9,86.64,87.83,88.85,85.63,188.14K
2019/9/10,83.21,86.64,87.27,82.64,141.01K
2019/9/11,83.08,83.21,85.28,82.57,163.46K
2019/9/12,85.61,83,92.8,81.83,246.75K
2019/9/13,93.36,85.61,93.84,84.8,224.73K
2019/9/14,91.62,93.36,94.54,90.74,272.32K
2019/9/15,89.33,91.64,91.76,89.12,194.00K
2019/9/16,92.27,89.33,93.54,88.29,220.39K
2019/9/17,94.66,92.27,98.17,91.08,242.49K
2019/9/18,97.78,94.66,98.29,94.52,264.05K
2019/9/19,99.61,97.78,103.3,91.03,408.57K
2019/9/20,96.69,99.57,99.57,95.26,212.03K
2019/9/21,93.11,96.7,96.82,92.81,146.84K
2019/9/22,90.9,93.15,93.93,90.84,160.09K
2019/9/23,87.04,90.9,90.9,86.97,202.56K
2019/9/24,72.09,87.05,88.08,71.97,444.17K
2019/9/25,72.54,72.1,80.05,70.29,440.99K
2019/9/26,68.97,72.53,73.29,66.49,279.48K
2019/9/27,71.42,68.97,72.07,67.57,194.29K
2019/9/28,71.14,71.42,71.87,70.08,180.54K
2019/9/29,69.07,71.14,71.3,67.86,159.97K
2019/9/30,70.63,69.08,71.73,67.12,175.47K
2019/10/1,70.05,70.64,73.25,69.38,142.52K
2019/10/2,70.44,70.04,70.62,69.21,100.12K
2019/10/3,70.81,70.44,72.16,68.05,171.06K
2019/10/4,71.57,70.81,72.01,69.93,156.28K
2019/10/5,72.26,71.6,72.39,68.67,159.62K
2019/10/6,69.36,72.26,73.35,68.07,216.88K
2019/10/7,70.79,69.34,71.87,68.89,209.70K
2019/10/8,70.73,70.79,73.43,70.2,245.92K
2019/10/9,73.72,70.73,74.71,70.34,264.40K
2019/10/10,72.49,73.71,74.35,70.5,343.80K
2019/10/11,69.47,72.49,73.51,69.4,236.22K
2019/10/12,70.68,69.49,72.14,69.46,177.28K
2019/10/13,70.5,70.63,72.18,70.27,151.90K
2019/10/14,71.18,70.5,71.88,70.04,144.69K
2019/10/15,71.41,71.18,72.82,70.82,253.60K
